Time,Load,Solar
00:00,514,0
00:15,482,0
00:30,470,0
00:45,448,0
01:00,422,0
01:15,412,0
01:30,366,0
01:45,355,0
02:00,368,0
02:15,392,0
02:30,346,0
02:45,335,0
03:00,392,0
03:15,379,0
03:30,378,0
03:45,377,0
04:00,449,0
04:15,478,0
04:30,485,0
04:45,501,0
05:00,564,0
05:15,610,0
05:30,707,0
05:45,757,0
06:00,824,0
06:15,836,0
06:30,1126,0
06:45,1186,20.723
07:00,1072,47.8481
07:15,1035,85.2762
07:30,1107,99.5901
07:45,1157,156.573
08:00,1082,172.5596
08:15,1086,241.2856
08:30,1102,511.8973
08:45,1164,875.4796
09:00,1005,1264.7957
09:15,985,1610.8348
09:30,859,1942.4658
09:45,795,2223.7964
10:00,823,2521.4375
10:15,718,2642.8408
10:30,646,2892.4565
10:45,667,3122.5981
11:00,693,3481.6086
11:15,678,3663.8298
11:30,708,3678.5981
11:45,739,3679.6292
12:00,677,3680.1519
12:15,632,3681.1982
12:30,643,3681.2847
12:45,546,3680.0552
13:00,565,3678.7454
13:15,603,3681.4397
13:30,559,3680.5222
13:45,578,3680.5337
14:00,432,3679.8318
14:15,443,3680.2
14:30,524,3682.0625
14:45,438,3659.2666
15:00,530,3430.8767
15:15,577,3298.6951
15:30,600,3237.176
15:45,733,2654.135
16:00,781,1981.0455
16:15,845,1925.0338
16:30,953,1844.3385
16:45,1016,1697.2147
17:00,1474,1546.4818
17:15,1567,1346.3053
17:30,1629,467.4573
17:45,1633,161.7831
18:00,1606,65.0586
18:15,1729,14.5034
18:30,1716,5.4516
18:45,1731,0
19:00,1725,0
19:15,1636,0
19:30,1760,0
19:45,1764,0
20:00,1421,0
20:15,1400,0
20:30,1367,0
20:45,1294,0
21:00,1272,0
21:15,1272,0
21:30,1198,0
21:45,1191,0
22:00,1028,0
22:15,1108,0
22:30,1047,0
22:45,1025,0
23:00,935,0
23:15,856,0
23:30,817,0
23:45,688,0
,,
